accession,organism_name,strain_name,assembly_level,total_16S_copies,unique_16S_copies,degree,ANI_species_ID,ANI_genus_ID,NCBI_taxID
GCF_015712165.1,Streptomyces spinoverrucosus,SNB-032,Contig,6,3,0,NA,NA,284043
GCF_002910755.1,Streptomyces sp.,SM14,Scaffold,4,1,2,38,30,1887
GCF_000403665.1,Streptomyces lividans,1326,Chromosome,3,3,12,26,19,1916
GCF_001941845.1,Streptomyces sp.,TN58,Complete,7,3,3,201,157,1887
GCF_015767935.1,Streptomyces clavuligerus,F1D28,Complete,6,2,26,33,26,1901
GCF_900105755.1,Streptomyces sp.,Ag109_O5-10,Contig,6,1,0,NA,NA,1887
GCF_017969005.1,Streptomyces sp.,LBUM 1483,Contig,6,4,15,185,145,1887
GCF_900119365.1,Streptomyces atratus,OK807,Scaffold,1,1,0,NA,NA,1893
GCF_001294335.1,Streptomyces chattanoogensis,NRRL ISP-5002,Contig,1,1,5,140,109,66876
GCF_001531145.1,Streptomyces sp.,MTB 1903,Scaffold,1,1,2,158,124,1887
GCF_003933485.1,Streptomyces griseofuscus,199,Scaffold,1,1,13,138,107,146922
GCF_015689475.1,Streptomyces solisilvae,HNM0141,Complete,6,6,7,175,137,1929477
GCF_000340845.1,Streptomyces hygroscopicus,TL01,Complete,6,3,3,18,12,1912
GCF_900104935.1,Streptomyces sp.,2114.2,Chromosome,6,2,14,26,19,1887
GCF_001654495.1,Streptomyces sp.,SAT1,Complete,6,2,0,NA,NA,1887
GCF_000385945.1,Streptomyces fulvissimus,DSM 40593,Complete,6,1,9,76,60,1919
GCF_008932075.1,Streptomyces sp.,TRM68085,Scaffold,1,1,20,78,60,1887
GCF_013376795.1,Streptomyces violascens,YIM 100212,Complete,7,3,37,107,87,67381
GCF_003584825.1,Streptomyces europaeiscabiei,ST1229,Contig,1,1,0,NA,NA,146819
GCF_003574445.1,Streptomyces sp.,YIM 130001,Scaffold,1,1,0,NA,NA,1887
GCF_003116755.1,Streptomyces sp.,CS131,Scaffold,5,1,1,149,118,1887
GCF_017526105.1,Streptomyces cyanogenus,S136,Complete,6,2,0,NA,NA,80860
GCF_003268535.2,Streptomyces sp.,ST1015,Complete,6,3,2,87,68,1887
GCF_009862865.1,Streptomyces sp.,SID5469,Contig,6,1,5,62,51,1887
GCF_015912455.1,Streptomyces clavuligerus,BW0219,Contig,1,1,26,33,26,1901
GCF_014280945.1,Streptomyces sp.,SS06011,Contig,1,1,1,64,53,1887
GCF_004125245.1,Streptomyces lydicus,ATCC 25470,Contig,7,1,5,141,110,47763
GCF_003751425.1,Streptomyces sp.,2132.2,Contig,7,3,7,53,42,1887
GCF_000827005.1,Streptomyces albus,DSM 41398,Complete,6,1,2,83,64,1888
GCF_900095575.1,Streptomyces sp.,DpondAA-F4,Contig,1,1,8,23,17,1887
GCF_001278095.1,Streptomyces sp.,CFMR-7,Complete,6,5,2,14,9,1887
GCF_001514115.1,Streptomyces olivochromogenes,DSM 40451,Scaffold,1,1,2,233,185,1963
GCF_007829885.1,Streptomyces brevispora,DSM 42059,Contig,6,2,2,164,128,887462
GCF_001428885.1,Streptomyces sp.,Root264,Scaffold,1,1,0,NA,NA,1887
GCF_009299385.1,Streptomyces cinereoruber,ATCC 19740,Complete,6,2,5,27,20,67260
GCF_004195855.1,Streptomyces albidoflavus,FXJ.2339,Contig,1,1,32,107,87,1886
GCF_011193355.1,Streptomyces sp.,JB150,Chromosome,1,1,0,NA,NA,1887
GCF_000148465.1,Streptomyces clavuligerus,ATCC 27064,Chromosome,3,1,26,33,26,1901
GCF_000213055.1,Streptomyces sp.,Tu6071,Chromosome,6,3,3,183,143,1887
GCF_000802245.2,Streptomyces pluripotens,MUSC 135,Complete,6,3,2,214,168,1355015
GCF_004563805.1,Streptomyces sp.,4R-3d,Contig,1,1,1,223,177,1887
GCF_009863155.1,Streptomyces sp.,SID4928,Scaffold,6,4,7,94,75,1887
GCF_003403055.1,Streptomyces sp.,AcE210,Contig,7,2,0,NA,NA,1887
GCF_001723055.1,Streptomyces niveus,NRRL 2466,Scaffold,1,1,1,223,177,193462
GCF_008087005.1,Streptomyces sp.,WAC01526,Contig,1,1,3,2,2,1887
GCF_002156095.1,Streptomyces sp.,NRRL B-24085,Scaffold,1,1,1,139,108,1887
GCF_001886595.1,Streptomyces venezuelae,NRRL B-65442,Complete,7,3,3,72,59,54571
GCF_013363575.1,Streptomyces sp.,KAI 90,Contig,1,1,10,203,159,1887
GCF_001425805.1,Streptomyces sp.,Root369,Scaffold,1,1,2,154,122,1887
GCF_003568675.1,Streptomyces sporangiiformans,NEAU-SSA 1,Contig,1,1,1,174,136,2315329
GCF_001905575.1,Streptomyces sp.,CB00072,Scaffold,1,1,20,73,60,1887
GCF_001550235.1,Streptomyces scabiei,96-08,Contig,7,2,19,185,145,1930
GCF_014596525.1,Streptomyces sp.,CBMA291,Contig,1,1,1,160,126,1887
GCF_013363555.1,Streptomyces fungicidicus,CAI-93,Contig,1,1,2,226,179,68203
GCF_009863165.1,Streptomyces sp.,SID4939,Contig,1,1,8,23,17,1887
GCF_001279625.1,Streptomyces sp.,WM6368,Contig,1,1,12,125,103,1887
GCF_007113505.2,Streptomyces sp.,S1A1-8,Complete,6,3,13,233,185,1887
GCF_002556545.1,Streptomyces formicae,KY5,Complete,6,3,0,NA,NA,1616117
GCF_003324565.1,Streptomyces sp.,SDr-06,Contig,1,1,0,NA,NA,1887
GCF_017968935.1,Streptomyces sp.,LBUM 1488,Contig,6,3,15,185,145,1887
GCF_017358145.1,Streptomyces sp.,CA-256286,Complete,6,1,9,76,60,1887
GCF_003261055.1,Streptomyces cadmiisoli,ZFG47,Complete,6,3,0,NA,NA,2184053
GCF_000245355.1,Streptomyces hygroscopicus,5008,Complete,6,3,3,18,12,1912
GCF_015912895.1,Streptomyces clavuligerus,NRRL 3585,Contig,1,1,26,33,26,1901
GCF_001279905.1,Streptomyces sp.,XY66,Contig,1,1,22,1,1,1887
GCF_000813365.1,Streptomyces albus,NBRC 13014,Scaffold,1,1,3,220,174,1888
GCF_900129855.1,Streptomyces sp.,3124.6,Chromosome,6,1,0,NA,NA,1887
GCF_001590865.1,Streptomyces sp.,NBRC 110611,Scaffold,1,1,0,NA,NA,1887
GCF_014649795.1,Streptomyces melanogenes,JCM 4398,Scaffold,1,1,0,NA,NA,67326
GCF_006788935.1,Streptomyces cavourensis,DSM 41795,Contig,6,1,13,14,9,1911
GCF_016411765.1,Streptomyces flavofungini,JCM 4753,Scaffold,1,1,0,NA,NA,68200
GCF_014649535.1,Streptomyces gelaticus,JCM 4376,Scaffold,1,1,0,NA,NA,285446
GCF_000966975.1,Streptomyces katrae,NRRL ISP-5550,Contig,1,1,0,NA,NA,68223
GCF_008086975.1,Streptomyces sp.,WAC5950 substr. delta orf15 pCRISPomyces,Scaffold,1,1,22,1,1,1887
GCF_013363485.1,Streptomyces sp.,KAI-27,Contig,1,1,8,119,97,1887
GCF_004195745.1,Streptomyces albidoflavus,NBRC 100770,Contig,1,1,9,107,87,1886
GCF_016031615.1,Streptomyces pactum,ATCC 27456,Contig,6,1,0,NA,NA,68249
GCF_004795055.1,Streptomyces sp.,A1136,Contig,1,1,1,54,43,1887
GCF_014650955.1,Streptomyces tauricus,JCM 4837,Scaffold,1,1,0,NA,NA,68274
GCF_017933235.1,Streptomyces sp.,LBUM 1480,Complete,6,2,15,185,145,1887
GCF_003073355.1,Streptomyces scopuliridis,RB72,Contig,1,1,0,NA,NA,452529
GCF_001866675.1,Streptomyces sp.,MUSC 14,Contig,1,1,0,NA,NA,1887
GCF_008704795.1,Streptomyces spectabilis,ATCC 27465,Complete,6,3,2,82,63,68270
GCF_014930365.1,Streptomyces sp.,NE06-02D,Scaffold,1,1,5,96,76,1887
GCF_002846455.1,Streptomyces sp.,5112.2,Contig,6,2,2,28,21,1887
GCF_009862635.1,Streptomyces sp.,SID724,Contig,1,1,0,NA,NA,1887
GCF_014252945.1,Streptomyces mexicanus,Marseille-Q0842,Contig,6,3,1,57,46,178566
GCF_014205035.1,Streptomyces nodosus,DSM 40109,Contig,6,2,3,148,117,40318
GCF_016521585.1,Streptomyces sp.,RB110-2,Contig,6,1,13,98,78,1887
GCF_005047355.1,Streptomyces sp.,NEAU-C40,Scaffold,1,1,0,NA,NA,1887
GCF_013778455.1,Streptomyces himalayensis,PSKA28,Contig,1,1,0,NA,NA,2756131
GCF_016906245.1,Streptomyces californicus,FDAARGOS_1213,Complete,6,2,14,98,78,67351
GCF_001570645.1,Streptomyces hygroscopicus,NBRC 100766,Scaffold,1,1,5,102,82,1912
GCF_014930395.1,Streptomyces sp.,ND05-01C,Scaffold,1,1,5,96,76,1887
GCF_003865155.1,Streptomyces rimosus,NBRC 15454,Contig,7,2,1,111,90,1927
GCF_004125265.1,Streptomyces lydicus,ATCC 31975,Contig,7,1,3,3,2,47763
GCF_002090335.1,Streptomyces sp.,MOE7,Complete,7,2,5,141,110,1887
GCF_006547185.1,Streptomyces ipomoeae,88-35,Scaffold,1,1,2,47,39,103232
GCF_014451325.2,Streptomyces sp.,CB02980,Scaffold,1,1,0,NA,NA,1887
GCF_016906225.1,Streptomyces californicus,FDAARGOS_1211,Complete,6,3,14,98,78,67351
GCF_014203495.1,Streptomyces albaduncus,CECT 3226,Scaffold,1,1,1,123,101,68172
GCF_018310575.1,Streptomyces sp.,V17-9,Complete,6,3,5,64,53,1887
GCF_003584805.1,Streptomyces acidiscabies,ST105,Contig,1,1,2,29,22,42234
GCF_001543915.1,Streptomyces thermoautotrophicus,UBT1,Contig,2,2,2,228,181,1469144
GCF_001417695.1,Streptomyces sp.,JHA19,Contig,1,1,0,NA,NA,1887
GCF_009865215.1,Streptomyces sp.,SID3343,Contig,1,1,0,NA,NA,1887
GCF_012927225.1,Streptomyces sp.,R301,Scaffold,1,1,1,166,130,1887
GCF_009863235.1,Streptomyces sp.,SID4925,Scaffold,1,1,9,215,169,1887
GCF_003671735.1,Streptomyces sp.,E1N211,Scaffold,1,1,4,205,161,1887
GCF_000411315.1,Streptomyces sp.,HGB0020,Scaffold,5,4,0,NA,NA,1887
GCF_014650895.1,Streptomyces omiyaensis,JCM 4806,Scaffold,1,1,0,NA,NA,68247
GCF_000342125.1,Streptomyces mobaraensis,DSM 40847,Contig,1,1,1,195,153,35621
GCF_900206255.1,Streptomyces sp.,TLI_55,Contig,6,1,1,91,72,1887
GCF_007113425.2,Streptomyces sp.,RLB3-17,Complete,6,1,13,233,185,1887
GCF_018638305.1,Streptomyces sp.,Vc74B-19,Contig,2,2,1,206,161,1887
GCF_001279605.1,Streptomyces sp.,NRRL F-4707,Contig,1,1,0,NA,NA,1887
GCF_009495655.1,Streptomyces sp.,SYP-A7193,Complete,6,2,3,58,47,1887
GCF_001418125.1,Streptomyces albus,NRRL B-1685,Scaffold,1,1,3,220,174,1888
GCF_003265665.1,Streptomyces qinglanensis,172205,Scaffold,1,1,0,NA,NA,943816
GCF_002286695.1,Streptomyces albireticuli,NRRL B-1670,Contig,1,1,1,152,120,1940
GCF_004305975.1,Streptomyces otsuchiensis,OTB305,Scaffold,1,1,2,38,30,2681388
GCF_001941275.1,Streptomyces acidiscabies,98-48,Contig,1,1,0,NA,NA,42234
GCF_001756925.1,Streptomyces fradiae,Olg4R,Contig,1,1,2,113,92,1906
GCF_013363615.1,Streptomyces sp.,CAI-85,Contig,1,1,1,173,135,1887
GCF_014649375.1,Streptomyces aurantiogriseus,JCM 4346,Scaffold,1,1,0,NA,NA,66870
GCF_003391135.1,Streptomyces olivoreticuli,ATCC 31159,Complete,7,1,0,NA,NA,68246
GCF_001598115.1,Streptomyces sp.,AgN23,Complete,6,2,2,49,41,1887
GCF_008642375.1,Streptomyces venezuelae,ATCC 15068,Complete,7,5,0,NA,NA,54571
GCF_001748085.1,Streptomyces sp.,TP-A0874,Scaffold,1,1,0,NA,NA,1887
GCF_000725645.1,Streptomyces sp.,NRRL F-5635,Scaffold,1,1,2,63,52,1887
GCF_016612855.1,Streptomyces sp.,MBT33,Contig,1,1,0,NA,NA,1887
GCF_016612725.1,Streptomyces sp.,MBT54,Contig,1,1,1,66,55,1887
GCF_002156075.1,Streptomyces scabiei,NRRL B-2795,Scaffold,1,1,0,NA,NA,1930
GCF_000717815.1,Streptomyces rimosus,NRRL WC-3924,Contig,1,1,0,NA,NA,1927
GCF_005405925.1,Streptomyces antimycoticus,NBRC 12839,Contig,6,6,2,184,144,68175
GCF_000718715.1,Streptomyces rimosus,NRRL WC-3874,Contig,1,1,9,229,182,1927
GCF_001419745.1,Streptomyces silaceus,NRRL B-24166,Scaffold,1,1,0,NA,NA,545123
GCF_001905705.1,Streptomyces sp.,CB02460,Scaffold,1,1,0,NA,NA,1887
GCF_014645895.1,Streptomyces daqingensis,CGMCC 4.7178,Scaffold,1,1,0,NA,NA,1472640
GCF_013364175.1,Streptomyces sp.,NA02536,Complete,6,4,2,234,186,1887
GCF_004104485.1,Streptomyces sp.,dophyte_N2,Complete,7,1,13,138,107,1887
GCF_001905905.1,Streptomyces sp.,CB02366,Scaffold,1,1,0,NA,NA,1887
GCF_001013905.1,Streptomyces leeuwenhoekii,C34 (= DSM 42122 = NRRL B-24963),Complete,6,3,2,44,36,1437453
GCF_003984925.1,Streptomyces sp.,WAC08401,Contig,1,1,10,203,159,1887
GCF_018866325.1,Streptomyces sp.,YPW6,Complete,6,6,0,NA,NA,1887
GCF_014649995.1,Streptomyces griseoflavus,JCM 4479,Scaffold,1,1,0,NA,NA,35619
GCF_000721255.1,Streptomyces avellaneus,NRRL B-3447,Contig,1,1,0,NA,NA,1894
GCF_013358325.1,Streptomyces lunaelactis,MM51,Contig,1,1,8,55,44,1535768
GCF_000718815.1,Streptomyces sp.,NRRL WC-3703,Contig,1,1,9,229,182,1887
GCF_011800555.1,Streptomyces malaysiensis,DSM 14702,Scaffold,6,5,6,175,137,92644
GCF_008704855.1,Streptomyces platensis,ATCC 23948,Complete,7,3,3,117,96,58346
GCF_000721535.1,Streptomyces hygroscopicus,NRRL B-1477,Contig,1,1,5,102,82,1912
GCF_008639165.1,Streptomyces venezuelae,ATCC 10712,Complete,7,2,3,72,59,54571
GCF_008642355.1,Streptomyces venezuelae,ATCC 14583,Complete,6,1,1,172,134,54571
GCF_900091865.1,Streptomyces sp.,DvalAA-19,Contig,1,1,1,14,9,1887
GCF_014141535.1,Streptomyces alkaliphilus,DSM 42118,Contig,1,1,0,NA,NA,1472722
GCF_002277855.1,Streptomyces sp.,Alain-F2R5,Contig,1,1,0,NA,NA,1887
GCF_000819545.1,Streptomyces nodosus,ATCC 14899,Chromosome,5,5,3,148,117,40318
GCF_016624005.1,Streptomyces sp.,RB110-1,Contig,6,1,13,98,78,1887
GCF_002150845.1,Streptomyces alboverticillatus,NRRL B-24281,Scaffold,1,1,2,30,23,173770
GCF_000952035.2,Streptomyces lydicus,A02,Complete,6,1,5,140,109,47763
GCF_002551375.1,Streptomyces sp.,gb14,Contig,1,1,16,10,7,1887
GCF_900105705.1,Streptomyces griseus,DSM 40236,Contig,6,1,7,94,75,1886
GCF_003752275.1,Streptomyces sp.,CEV 2-1,Contig,7,2,1,225,178,1887
GCF_013364375.1,Streptomyces sp.,NA03103,Complete,6,3,4,64,53,1887
GCF_013046785.1,Streptomyces sp.,jing01,Complete,6,4,0,NA,NA,1887
GCF_001418165.1,Streptomyces prasinus,NRRL B-12521,Scaffold,1,1,0,NA,NA,67345
GCF_002794255.1,Streptomyces carminius,TRM SA0054,Scaffold,6,1,0,NA,NA,2665496
GCF_001514145.1,Streptomyces canus,DSM 40017,Scaffold,1,1,2,154,122,58343
GCF_000718295.1,Streptomyces capuensis,NRRL B-3501,Contig,1,1,9,229,182,1464056
GCF_014649655.1,Streptomyces humidus,JCM 4386,Scaffold,1,1,0,NA,NA,52259
GCF_001949645.1,Streptomyces acidiscabies,2,Contig,1,1,2,29,22,42234
GCF_007113565.2,Streptomyces sp.,S1A1-7,Chromosome,6,1,13,233,185,1887
GCF_002154575.1,Streptomyces bobili,NRRL B-1338,Scaffold,1,1,1,159,125,67280
GCF_001279685.1,Streptomyces sp.,WM6373,Contig,1,1,22,1,1,1887
GCF_005981935.1,Streptomyces chryseus,DSM 40420,Contig,1,1,1,116,95,68186
GCF_002300315.1,Streptomyces sp.,2321.6,Contig,7,2,5,17,11,1887
GCF_004334925.1,Streptomyces sp.,BTA2,Contig,6,5,14,14,9,1887
GCF_002300485.1,Streptomyces sp.,Ag82_O1-15,Contig,6,2,1,177,139,1887
GCF_002028425.1,Streptomyces katrae,S3,Chromosome,7,4,1,171,133,68223
GCF_014648655.1,Streptomyces atratus,JCM 3386,Scaffold,1,1,2,198,156,1893
GCF_001685355.1,Streptomyces lincolnensis,NRRL 2936,Complete,6,3,2,39,31,1915
GCF_014649515.1,Streptomyces flavoviridis,JCM 4372,Scaffold,1,1,0,NA,NA,28893
GCF_007280575.1,Streptomyces sp.,MZ03-37,Contig,1,1,1,150,119,1887
GCF_002803065.1,Streptomyces sp.,CB01635,Scaffold,1,1,0,NA,NA,1887
GCF_001642995.1,Streptomyces jeddahensis,G25,Contig,1,1,0,NA,NA,1716141
GCF_013302895.1,Streptomyces albus,NRRL B-24108,Scaffold,1,1,0,NA,NA,1888
GCF_000716215.1,Streptomyces resistomycificus,NRRL ISP-5133,Scaffold,1,1,1,19,13,67356
GCF_001705785.1,Streptomyces hygroscopicus,OsiSh-2,Scaffold,1,1,0,NA,NA,1912
GCF_002803175.1,Streptomyces sp.,CB02613,Scaffold,1,1,16,11,7,1887
GCF_000721335.1,Streptomyces sp.,NRRL S-1831,Contig,1,1,2,63,52,1887
GCF_001652895.1,Streptomyces sp.,NBRC 109436,Scaffold,1,1,5,102,82,1887
GCF_003595545.1,Streptomyces sp.,11-1-2,Complete,6,1,0,NA,NA,1887
GCF_018619135.1,Streptomyces sp.,McG7,Contig,1,1,3,92,73,1887
GCF_000717995.1,Streptomyces violaceorubidus,NRRL B-16381,Contig,1,1,0,NA,NA,284042
GCF_002224125.1,Streptomyces sp.,NBS 14/10,Scaffold,1,1,0,NA,NA,1887
GCF_007280585.1,Streptomyces sp.,MZ03-48,Contig,1,1,1,150,119,1887
GCF_008639045.1,Streptomyces venezuelae,ATCC 21113,Complete,7,2,3,72,59,54571
GCF_001184025.1,Streptomyces sp.,NBRC 110468,Scaffold,1,1,0,NA,NA,1887
GCF_013358065.1,Streptomyces lunaelactis,MM31,Contig,1,1,8,55,44,1535768
GCF_001984575.1,Streptomyces sp.,MP131-18,Scaffold,1,1,0,NA,NA,1887
GCF_014648635.1,Streptomyces cinerochromogenes,JCM 3385,Scaffold,1,1,0,NA,NA,66422
GCF_004348315.1,Streptomyces sp.,8K308,Contig,1,1,0,NA,NA,1887
GCF_014650355.1,Streptomyces michiganensis,JCM 4594,Scaffold,1,1,0,NA,NA,67384
GCF_002154385.1,Streptomyces albovinaceus,NRRL B-2566,Scaffold,1,1,8,190,149,66867
GCF_001905735.1,Streptomyces sp.,CB01249,Scaffold,1,1,1,71,58,1887
GCF_900105245.1,Streptomyces sp.,1222.5,Contig,6,2,2,28,21,1887
GCF_000590515.1,Streptomyces sp.,PRh5,Contig,1,1,0,NA,NA,1887
GCF_019029505.1,Streptomyces sp.,Osf17,Contig,6,4,11,203,159,1887
GCF_009873275.1,Streptomyces sp.,SID5914,Contig,1,1,0,NA,NA,1887
GCF_014203645.1,Streptomyces zagrosensis,CECT 8305,Contig,1,1,0,NA,NA,1042984
GCF_000010605.1,Streptomyces griseus,NBRC 13350,Complete,6,1,7,94,75,1886
GCF_001189025.1,Streptomyces europaeiscabiei,NCPPB 4064,Scaffold,1,1,18,73,60,146819
GCF_000163875.1,Streptomyces clavuligerus,ATCC 27064,Chromosome,4,1,26,33,26,1901
GCF_014648935.1,Streptomyces diastaticus,JCM 4128,Scaffold,1,1,7,108,87,1956
GCF_018638335.1,Streptomyces sp.,G11C,Contig,1,1,8,119,97,1887
GCF_000261345.2,Streptomyces globisporus,C-1027,Complete,6,1,8,190,149,1886
GCF_009862685.1,Streptomyces sp.,SID685,Contig,2,1,13,138,107,1887
GCF_002317005.1,Streptomyces albidoflavus,38,Contig,1,1,2,226,179,1886
GCF_003721495.1,Streptomyces sp.,ADI95-16,Complete,7,3,0,NA,NA,1887
GCF_001748165.1,Streptomyces sp.,SPMA113,Scaffold,1,1,4,175,137,1887
GCF_900171555.1,Streptomyces albidoflavus,R-53649,Scaffold,1,1,9,107,87,1886
GCF_014649135.1,Streptomyces niveoruber,JCM 4234,Scaffold,1,1,0,NA,NA,68243
GCF_900105235.1,Streptomyces sp.,2133.1,Contig,7,2,5,17,11,1887
GCF_003116795.1,Streptomyces sp.,CS207,Scaffold,3,2,10,203,159,1887
GCF_001279935.1,Streptomyces sp.,GB124,Contig,1,1,22,1,1,1887
GCF_003116775.1,Streptomyces sp.,CS147,Scaffold,4,1,16,11,7,1887
GCF_012034235.1,Streptomyces thermoviolaceus,NBRC 13905,Contig,1,1,1,208,163,1952
GCF_002154495.1,Streptomyces cacaoi,NRRL B-1220,Scaffold,1,1,2,101,81,1898
GCF_001974775.1,Streptomyces sp.,WAC00263,Contig,6,2,15,233,185,1887
GCF_013358055.1,Streptomyces lunaelactis,MM91,Contig,1,1,8,55,44,1535768
GCF_002154605.1,Streptomyces milbemycinicus,NRRL 5739,Scaffold,1,1,1,88,69,476552
GCF_000721035.1,Streptomyces griseus,NRRL B-2621,Contig,1,1,0,NA,NA,1886
GCF_016756395.1,Streptomyces sp.,SN-593,Complete,6,3,0,NA,NA,1887
GCF_002891315.1,Streptomyces noursei,JCM 4701,Scaffold,7,1,0,NA,NA,1971
GCF_005519465.1,Streptomyces clavuligerus,ATCC 27064,Complete,6,2,26,33,26,1901
GCF_002005565.1,Streptomyces sp.,JHA26,Contig,1,1,0,NA,NA,1887
GCF_019049185.1,Streptomyces anulatus,AC569_RSS891,Scaffold,1,1,20,73,60,1892
GCF_014701095.1,Streptomyces tuirus,JCM 4255,Complete,6,2,0,NA,NA,68278
GCF_008704425.1,Streptomyces fradiae,ATCC 10745,Complete,6,2,2,196,154,1906
GCF_011758705.1,Streptomyces cinereoruber,DSM 41512,Contig,6,2,5,27,20,67260
GCF_000498935.1,Streptomyces sp.,HCCB10043,Contig,1,1,1,149,118,1887
GCF_015912945.1,Streptomyces clavuligerus,NCIMB 12785,Contig,1,1,26,33,26,1901
GCF_018619515.1,Streptomyces sp.,CYG21,Contig,6,5,14,14,9,1887
GCF_014650295.1,Streptomyces caelestis,JCM 4566,Scaffold,1,1,1,182,142,36816
GCF_018070175.1,Streptomyces sp.,RK74B,Contig,1,1,1,178,140,1887
GCF_002711365.1,Streptomyces sp.,LamerLS-316,Scaffold,1,1,4,180,141,1887
GCF_001625365.1,Streptomyces sp.,MJM8645,Contig,12,4,0,NA,NA,1887
GCF_001905385.1,Streptomyces sp.,CB02414,Scaffold,1,1,0,NA,NA,1887
GCF_000220705.2,Streptomyces xinghaiensis,S187,Complete,6,2,2,113,92,1038928
GCF_003311645.1,Streptomyces sp.,PT12,Contig,1,1,0,NA,NA,1887
GCF_001746455.1,Streptomyces agglomeratus,9-3-15,Contig,7,1,3,7,4,285458
GCF_003046555.1,Streptomyces sp.,VMFN-G11Ma,Scaffold,1,1,2,104,84,1887
GCF_019090105.1,Streptomyces sp.,BV129,Contig,1,1,1,93,74,1887
GCF_018614475.1,Streptomyces sp.,SL-21,Scaffold,1,1,1,161,127,1887
GCF_004104505.1,Streptomyces sp.,M2,Complete,6,1,2,104,84,1887
GCF_005234185.1,Streptomyces sp.,BPSDS2,Contig,1,1,20,79,60,1887
GCF_001636945.1,Streptomyces sp.,FXJ1.172,Contig,1,1,0,NA,NA,1887
GCF_012034385.1,Streptomyces sp.,ventii,Scaffold,1,1,0,NA,NA,1887
GCF_000364805.1,Streptomyces sp.,PAMC 26508,Complete,6,1,18,74,61,1887
GCF_000966965.1,Streptomyces sp.,NRRL S-104,Contig,1,1,22,1,1,1887
GCF_002007125.1,Streptomyces tsukubensis,F601,Contig,1,1,1,165,129,83656
GCF_014203545.1,Streptomyces netropsis,CECT 3265,Scaffold,1,1,0,NA,NA,55404
GCF_018070055.1,Streptomyces sp.,RT42,Contig,1,1,10,203,159,1887
GCF_003330865.1,Streptomyces atratus,SCSIO_ZH16,Complete,6,1,2,198,156,1893
GCF_004403015.1,Streptomyces sp.,CN441,Contig,1,1,0,NA,NA,1887
GCF_005768555.2,Streptomyces sporangiiformans,NEAU-SSA 1,Scaffold,1,1,1,174,136,2315329
GCF_007113525.2,Streptomyces sp.,RLB1-9,Complete,6,1,13,233,185,1887
GCF_017676345.1,Streptomyces smyrnaeus,DSM 42105,Contig,1,1,0,NA,NA,1387713
GCF_000717285.1,Streptomyces rimosus,NRRL ISP-5260,Contig,1,1,9,229,182,1927
GCF_014650435.1,Streptomyces tendae,JCM 4610,Scaffold,1,1,1,70,57,1932
GCF_001493375.1,Streptomyces specialis,ype strain: GW41-1564,Scaffold,3,2,0,NA,NA,498367
GCF_000720325.1,Streptomyces sp.,NRRL B-1347,Contig,1,1,0,NA,NA,1887
GCF_016598475.1,Streptomyces adelaidensis,CAP261,Contig,1,1,0,NA,NA,2796465
GCF_001418625.1,Streptomyces luridiscabiei,NRRL B-24455,Scaffold,1,1,9,76,60,164114
GCF_011650445.1,Streptomyces sp.,VN1,Complete,6,1,3,232,184,1887
GCF_009852415.1,Streptomyces sp.,Tu 3180,Contig,6,2,0,NA,NA,1887
GCF_014650275.1,Streptomyces mirabilis,JCM 4551,Scaffold,1,1,0,NA,NA,68239
GCF_009862625.1,Streptomyces sp.,SID69,Contig,1,1,1,56,45,1887
GCF_001704635.1,Streptomyces sparsogenes,ATCC 25498,Contig,6,2,1,36,28,67365
GCF_003346515.1,Streptomyces corynorhini,AC230,Scaffold,1,1,0,NA,NA,2282652
GCF_018883605.1,Streptomyces sp.,4503,Scaffold,1,1,0,NA,NA,1887
GCF_006539165.1,Streptomyces cacaoi,NBRC 12748,Contig,1,1,2,101,81,1898
GCF_008042035.1,Streptomyces sp.,ol6,Scaffold,1,1,0,NA,NA,1887
GCF_900199205.1,Streptomyces sp.,1331.2,Contig,11,8,1,32,25,1887
GCF_004364245.1,Streptomyces sp.,BK208,Scaffold,1,1,1,69,57,1887
GCF_003387455.1,Streptomyces sp.,2221.1,Contig,6,3,14,26,19,1887
GCF_006088715.1,Streptomyces sp.,YIM 121038,Complete,6,1,1,60,49,1887
GCF_017948485.1,Streptomyces sp.,GESEQ-35,Contig,1,1,0,NA,NA,1887
GCF_000359525.1,Streptomyces albidoflavus,J1074,Complete,7,2,32,107,87,1886
GCF_016741875.1,Streptomyces coffeae,CA1R205,Contig,1,1,0,NA,NA,621382
GCF_003626535.1,Streptomyces hoynatensis,KCTC 29097,Contig,1,1,0,NA,NA,1141874
GCF_004122755.1,Streptomyces sp.,TM32,Contig,1,1,0,NA,NA,1887
GCF_017933255.1,Streptomyces sp.,LBUM 1475,Complete,6,4,15,185,145,1887
GCF_000935135.2,Streptomyces sp.,MNU77,Contig,6,2,27,73,60,1887
GCF_003584815.1,Streptomyces scabiei,ST129,Contig,1,1,15,185,145,1930
GCF_010523235.1,Streptomyces sp.,604F,Complete,7,4,8,119,97,1887
GCF_000376565.1,Streptomyces hokutonensis,R1-NS-10,Contig,1,1,0,NA,NA,1306990
GCF_003268555.1,Streptomyces sp.,ST1020,Contig,1,1,2,87,68,1887
GCF_008704515.1,Streptomyces viridosporus,ATCC 39115,Complete,6,6,0,NA,NA,67581
GCF_018614585.1,Streptomyces sp.,SL-1,Scaffold,1,1,0,NA,NA,1887
GCF_900091815.1,Streptomyces sp.,DfronAA-171,Contig,1,1,0,NA,NA,1887
