,run_id,genome1,genome2,unique_taxa_names,coverage,identity,comparision_type_species,comparision_type_genus,cluster_hash,cluster_id
1,105.0,"Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.9822635284,0.9998600572,intra,intra,5c4eba2229a4848265721c594daac537,7
2,105.0,"Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.9653914342,0.9998364363,intra,intra,5c4eba2229a4848265721c594daac537,7
3,105.0,"Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.9677003233,0.9998698924,intra,intra,5c4eba2229a4848265721c594daac537,7
4,105.0,"Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.9880741136,0.9998398454,intra,intra,5c4eba2229a4848265721c594daac537,7
5,105.0,"Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.9619588442,0.9998331971,intra,intra,5c4eba2229a4848265721c594daac537,7
6,105.0,"Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.7054648574,0.9673862193,intra,intra,5c4eba2229a4848265721c594daac537,7
7,105.0,"Streptomyces cavourensis strain TJ430 chromosome, complete genome:357","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.9154887659,0.979472933,intra,intra,5c4eba2229a4848265721c594daac537,7
8,105.0,"Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.8335026947,0.9850843056,intra,intra,5c4eba2229a4848265721c594daac537,7
9,105.0,"Streptomyces sp. B27 1, whole genome shotgun sequence:359","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.8484924054,0.9616188859,intra,intra,5c4eba2229a4848265721c594daac537,7
10,105.0,"Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.906102607,0.9793865296,intra,intra,5c4eba2229a4848265721c594daac537,7
11,105.0,"Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.8978816876,0.9792135735,intra,intra,5c4eba2229a4848265721c594daac537,7
12,105.0,"Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.9074698731,0.9794135603,intra,intra,5c4eba2229a4848265721c594daac537,7
13,105.0,"Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363","Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213",3,0.9050228435,0.979428588,intra,intra,5c4eba2229a4848265721c594daac537,7
14,105.0,"Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.9913360167,0.9998600572,intra,intra,5c4eba2229a4848265721c594daac537,7
16,105.0,"Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,1.0011394927,0.9998316181,intra,intra,5c4eba2229a4848265721c594daac537,7
17,105.0,"Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.9986819078,0.9998673191,intra,intra,5c4eba2229a4848265721c594daac537,7
18,105.0,"Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,1.0180982782,0.9997957117,intra,intra,5c4eba2229a4848265721c594daac537,7
19,105.0,"Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.9955417506,0.9998360833,intra,intra,5c4eba2229a4848265721c594daac537,7
20,105.0,"Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.7216105202,0.9674605213,intra,intra,5c4eba2229a4848265721c594daac537,7
21,105.0,"Streptomyces cavourensis strain TJ430 chromosome, complete genome:357","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.9306458034,0.9794425711,intra,intra,5c4eba2229a4848265721c594daac537,7
22,105.0,"Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.8567651693,0.9850023659,intra,intra,5c4eba2229a4848265721c594daac537,7
23,105.0,"Streptomyces sp. B27 1, whole genome shotgun sequence:359","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.8647457501,0.9615785361,intra,intra,5c4eba2229a4848265721c594daac537,7
24,105.0,"Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.921378615,0.9793188014,intra,intra,5c4eba2229a4848265721c594daac537,7
25,105.0,"Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.913805787,0.9792208705,intra,intra,5c4eba2229a4848265721c594daac537,7
26,105.0,"Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.9224800581,0.9793338888,intra,intra,5c4eba2229a4848265721c594daac537,7
27,105.0,"Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363","Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214",3,0.9209512036,0.9793628969,intra,intra,5c4eba2229a4848265721c594daac537,7
28,105.0,"Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.9379713546,0.9998364363,intra,intra,5c4eba2229a4848265721c594daac537,7
29,105.0,"Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.9638020859,0.9998316181,intra,intra,5c4eba2229a4848265721c594daac537,7
31,105.0,"Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.9389512934,0.9998564052,intra,intra,5c4eba2229a4848265721c594daac537,7
32,105.0,"Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.9530062385,0.9998123327,intra,intra,5c4eba2229a4848265721c594daac537,7
33,105.0,"Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.9383323569,0.9997906427,intra,intra,5c4eba2229a4848265721c594daac537,7
34,105.0,"Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.6786923339,0.9673907103,intra,intra,5c4eba2229a4848265721c594daac537,7
35,105.0,"Streptomyces cavourensis strain TJ430 chromosome, complete genome:357","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.8764657186,0.9794341453,intra,intra,5c4eba2229a4848265721c594daac537,7
36,105.0,"Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.8109989240000001,0.9849292513,intra,intra,5c4eba2229a4848265721c594daac537,7
37,105.0,"Streptomyces sp. B27 1, whole genome shotgun sequence:359","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.8152807191,0.9616505469,intra,intra,5c4eba2229a4848265721c594daac537,7
38,105.0,"Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.8675658643,0.9792616264,intra,intra,5c4eba2229a4848265721c594daac537,7
39,105.0,"Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.8614021718,0.9791108244,intra,intra,5c4eba2229a4848265721c594daac537,7
40,105.0,"Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.8727177434000001,0.9793039185,intra,intra,5c4eba2229a4848265721c594daac537,7
41,105.0,"Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363","Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215",3,0.8677712557,0.9792995893,intra,intra,5c4eba2229a4848265721c594daac537,7
42,105.0,"Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.977102083,0.9998698924,intra,intra,5c4eba2229a4848265721c594daac537,7
43,105.0,"Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.9991561574,0.9998673191,intra,intra,5c4eba2229a4848265721c594daac537,7
44,105.0,"Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.9757891463,0.9998564052,intra,intra,5c4eba2229a4848265721c594daac537,7
46,105.0,"Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.9930394333,0.9998167063,intra,intra,5c4eba2229a4848265721c594daac537,7
47,105.0,"Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.9744181402,0.9998379967,intra,intra,5c4eba2229a4848265721c594daac537,7
48,105.0,"Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.7098912313,0.9675315645,intra,intra,5c4eba2229a4848265721c594daac537,7
49,105.0,"Streptomyces cavourensis strain TJ430 chromosome, complete genome:357","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.919212289,0.9795415093,intra,intra,5c4eba2229a4848265721c594daac537,7
50,105.0,"Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.8448792895,0.9850325785,intra,intra,5c4eba2229a4848265721c594daac537,7
51,105.0,"Streptomyces sp. B27 1, whole genome shotgun sequence:359","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.8558832692,0.9617718536,intra,intra,5c4eba2229a4848265721c594daac537,7
52,105.0,"Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.9109872322,0.9793802792,intra,intra,5c4eba2229a4848265721c594daac537,7
53,105.0,"Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.9024934615,0.9793083203,intra,intra,5c4eba2229a4848265721c594daac537,7
54,105.0,"Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.911898427,0.9794570933,intra,intra,5c4eba2229a4848265721c594daac537,7
55,105.0,"Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363","Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216",3,0.9113908829,0.9794210983,intra,intra,5c4eba2229a4848265721c594daac537,7
56,105.0,"Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,1.0003238688,0.9998398454,intra,intra,5c4eba2229a4848265721c594daac537,7
57,105.0,"Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,1.021287337,0.9997957117,intra,intra,5c4eba2229a4848265721c594daac537,7
58,105.0,"Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.9930262284,0.9998123327,intra,intra,5c4eba2229a4848265721c594daac537,7
59,105.0,"Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.9956771758,0.9998167063,intra,intra,5c4eba2229a4848265721c594daac537,7
61,105.0,"Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.9913527059,0.9998273961,intra,intra,5c4eba2229a4848265721c594daac537,7
62,105.0,"Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.7206835966,0.9674460928,intra,intra,5c4eba2229a4848265721c594daac537,7
63,105.0,"Streptomyces cavourensis strain TJ430 chromosome, complete genome:357","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.9349817705,0.9794706186,intra,intra,5c4eba2229a4848265721c594daac537,7
64,105.0,"Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.8565617435,0.9849917944,intra,intra,5c4eba2229a4848265721c594daac537,7
65,105.0,"Streptomyces sp. B27 1, whole genome shotgun sequence:359","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.8648202225,0.9616101953,intra,intra,5c4eba2229a4848265721c594daac537,7
66,105.0,"Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.925911107,0.9793396407,intra,intra,5c4eba2229a4848265721c594daac537,7
67,105.0,"Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.9121843602,0.97919259,intra,intra,5c4eba2229a4848265721c594daac537,7
68,105.0,"Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.922594887,0.9793667626,intra,intra,5c4eba2229a4848265721c594daac537,7
69,105.0,"Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363","Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217",3,0.9213381905,0.9793725614,intra,intra,5c4eba2229a4848265721c594daac537,7
70,105.0,"Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.91383696,0.9998331971,intra,intra,5c4eba2229a4848265721c594daac537,7
71,105.0,"Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.9370846827,0.9998360833,intra,intra,5c4eba2229a4848265721c594daac537,7
72,105.0,"Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.9174508036,0.9997906427,intra,intra,5c4eba2229a4848265721c594daac537,7
73,105.0,"Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.9167660767,0.9998379967,intra,intra,5c4eba2229a4848265721c594daac537,7
74,105.0,"Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.9302277978,0.9998273961,intra,intra,5c4eba2229a4848265721c594daac537,7
76,105.0,"Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.6620764431,0.9675565057,intra,intra,5c4eba2229a4848265721c594daac537,7
77,105.0,"Streptomyces cavourensis strain TJ430 chromosome, complete genome:357","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.8588669168,0.9795712139,intra,intra,5c4eba2229a4848265721c594daac537,7
78,105.0,"Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.7876585136,0.9849946243,intra,intra,5c4eba2229a4848265721c594daac537,7
79,105.0,"Streptomyces sp. B27 1, whole genome shotgun sequence:359","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.7924875678000001,0.9619485498,intra,intra,5c4eba2229a4848265721c594daac537,7
80,105.0,"Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.8487631796,0.979484814,intra,intra,5c4eba2229a4848265721c594daac537,7
81,105.0,"Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.8380597339,0.9793254111,intra,intra,5c4eba2229a4848265721c594daac537,7
82,105.0,"Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.8483910045,0.9794538983,intra,intra,5c4eba2229a4848265721c594daac537,7
83,105.0,"Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363","Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247",3,0.8470317213,0.9795022812,intra,intra,5c4eba2229a4848265721c594daac537,7
84,105.0,"Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.8943742242,0.9673862193,intra,intra,5c4eba2229a4848265721c594daac537,7
85,105.0,"Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.9064709278,0.9674605213,intra,intra,5c4eba2229a4848265721c594daac537,7
86,105.0,"Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.8855859127,0.9673907103,intra,intra,5c4eba2229a4848265721c594daac537,7
87,105.0,"Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.8913261514,0.9675315645,intra,intra,5c4eba2229a4848265721c594daac537,7
88,105.0,"Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.9024796486,0.9674460928,intra,intra,5c4eba2229a4848265721c594daac537,7
89,105.0,"Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.8835676337,0.9675565057,intra,intra,5c4eba2229a4848265721c594daac537,7
91,105.0,"Streptomyces cavourensis strain TJ430 chromosome, complete genome:357","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.9449403232,0.9673123224,intra,intra,5c4eba2229a4848265721c594daac537,7
92,105.0,"Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.8060235177,0.9695188413,intra,intra,5c4eba2229a4848265721c594daac537,7
93,105.0,"Streptomyces sp. B27 1, whole genome shotgun sequence:359","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.9279783464,0.9734243274,intra,intra,5c4eba2229a4848265721c594daac537,7
94,105.0,"Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.9335589541,0.9673385455,intra,intra,5c4eba2229a4848265721c594daac537,7
95,105.0,"Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.9263528198,0.9672214747,intra,intra,5c4eba2229a4848265721c594daac537,7
96,105.0,"Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.9363335937,0.9672862727,intra,intra,5c4eba2229a4848265721c594daac537,7
97,105.0,"Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363","Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356",3,0.9374388653,0.9674116978,intra,intra,5c4eba2229a4848265721c594daac537,7
98,105.0,"Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.8603145600000001,0.979472933,intra,intra,5c4eba2229a4848265721c594daac537,7
99,105.0,"Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.8665543581,0.9794425711,intra,intra,5c4eba2229a4848265721c594daac537,7
100,105.0,"Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.8477212178,0.9794341453,intra,intra,5c4eba2229a4848265721c594daac537,7
101,105.0,"Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.8555019868,0.9795415093,intra,intra,5c4eba2229a4848265721c594daac537,7
102,105.0,"Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.8678732185,0.9794706186,intra,intra,5c4eba2229a4848265721c594daac537,7
103,105.0,"Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.8496066453000001,0.9795712139,intra,intra,5c4eba2229a4848265721c594daac537,7
104,105.0,"Streptomyces nanshensis strain SCSIO M10372 C1000, whole genome shotgun sequence:356","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.7004300104000001,0.9673123224,intra,intra,5c4eba2229a4848265721c594daac537,7
106,105.0,"Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.7971340257,0.981657789,intra,intra,5c4eba2229a4848265721c594daac537,7
107,105.0,"Streptomyces sp. B27 1, whole genome shotgun sequence:359","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.8589033358,0.9614509097,intra,intra,5c4eba2229a4848265721c594daac537,7
108,105.0,"Streptomyces cavourensis strain DSM 41795 Ga0264341_11, whole genome shotgun sequence:360","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.9683396968,0.9947686632,intra,intra,5c4eba2229a4848265721c594daac537,7
109,105.0,"Streptomyces sp. KAI-26 NODE_10_length_302916_cov_535.824, whole genome shotgun sequence:361","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.9571512586,0.9941984646,intra,intra,5c4eba2229a4848265721c594daac537,7
110,105.0,"Streptomyces sp. CAI-24 NODE_1007_length_1332_cov_1545.08, whole genome shotgun sequence:362","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.9737493875,0.99450853,intra,intra,5c4eba2229a4848265721c594daac537,7
111,105.0,"Streptomyces cavourensis strain JCM 4298 sequence01, whole genome shotgun sequence:363","Streptomyces cavourensis strain TJ430 chromosome, complete genome:357",3,0.9685857379,0.9947699907,intra,intra,5c4eba2229a4848265721c594daac537,7
112,105.0,"Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213","Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358",3,0.8566818978,0.9850843056,intra,intra,5c4eba2229a4848265721c594daac537,7
113,105.0,"Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214","Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358",3,0.8725323106,0.9850023659,intra,intra,5c4eba2229a4848265721c594daac537,7
114,105.0,"Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215","Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358",3,0.8579198681,0.9849292513,intra,intra,5c4eba2229a4848265721c594daac537,7
115,105.0,"Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216","Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358",3,0.8600192916,0.9850325785,intra,intra,5c4eba2229a4848265721c594daac537,7
116,105.0,"Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217","Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358",3,0.8696012298,0.9849917944,intra,intra,5c4eba2229a4848265721c594daac537,7
117,105.0,"Streptomyces sp. CBG30 000000F_arrow, whole genome shotgun sequence:247","Streptomyces sp. WAC04770 AA000317-1000_WAC04770, whole genome shotgun sequence:358",3,0.8521937136000001,0.9849946243,intra,intra,5c4eba2229a4848265721c594daac537,7
